starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 22 14:47:45 2016	1479822465	1	1	2	1
Tue Nov 22 14:47:41 2016	1479822461	1	2	3	2
Tue Nov 22 14:48:01 2016	1479822481	1	3	3	2
Tue Nov 22 14:48:04 2016	1479822484	1	3	4	3
Tue Nov 22 14:48:01 2016	1479822481	1	3	4	3
Tue Nov 22 14:48:01 2016	1479822481	1	4	5	4
Tue Nov 22 14:48:04 2016	1479822484	0	4	5	4
Tue Nov 22 14:48:00 2016	1479822480	1	4	5	4
Tue Nov 22 14:47:45 2016	1479822465	3	3	5	3
Tue Nov 22 14:47:45 2016	1479822465	2	4	5	3
Tue Nov 22 14:48:02 2016	1479822482	1	4	5	4
Tue Nov 22 14:48:01 2016	1479822481	1	5	6	4
Tue Nov 22 14:47:45 2016	1479822465	3	3	6	3
Tue Nov 22 14:48:01 2016	1479822481	1	6	6	5
Tue Nov 22 14:48:02 2016	1479822482	1	6	6	5
Tue Nov 22 14:48:04 2016	1479822484	0	6	6	5
Tue Nov 22 14:48:04 2016	1479822484	0	6	6	6
Tue Nov 22 14:48:04 2016	1479822484	1	5	6	4
Tue Nov 22 14:47:42 2016	1479822462	1	5	6	5
Tue Nov 22 14:47:37 2016	1479822457	1	5	7	4
Tue Nov 22 14:47:36 2016	1479822456	1	6	7	5
Tue Nov 22 14:48:03 2016	1479822483	1	6	7	6
Tue Nov 22 14:48:01 2016	1479822481	1	6	7	6
Tue Nov 22 14:48:01 2016	1479822481	1	6	7	6
Tue Nov 22 14:48:01 2016	1479822481	2	6	7	5
Tue Nov 22 14:47:43 2016	1479822463	1	6	7	6
Tue Nov 22 14:47:36 2016	1479822456	2	6	7	5
Tue Nov 22 14:47:45 2016	1479822465	2	6	7	6
Tue Nov 22 14:48:03 2016	1479822483	1	7	7	4
Tue Nov 22 14:48:03 2016	1479822483	1	7	7	6
Tue Nov 22 14:47:59 2016	1479822479	1	7	8	6
Tue Nov 22 14:48:02 2016	1479822482	1	7	8	6
Tue Nov 22 14:48:03 2016	1479822483	2	6	8	4
Tue Nov 22 14:48:03 2016	1479822483	1	7	8	5
Tue Nov 22 14:48:01 2016	1479822481	2	6	8	6
Tue Nov 22 14:48:04 2016	1479822484	1	7	8	7
Tue Nov 22 14:48:03 2016	1479822483	4	4	8	4
Tue Nov 22 14:47:39 2016	1479822459	1	6	8	5
Tue Nov 22 14:48:01 2016	1479822481	1	7	8	5
Tue Nov 22 14:47:59 2016	1479822479	2	6	8	6
Tue Nov 22 14:47:36 2016	1479822456	1	7	8	7
Tue Nov 22 14:48:03 2016	1479822483	1	8	8	7
Tue Nov 22 14:47:45 2016	1479822465	1	7	8	7
Tue Nov 22 14:48:01 2016	1479822481	1	7	8	7
Tue Nov 22 14:48:01 2016	1479822481	1	8	8	8
Tue Nov 22 14:47:42 2016	1479822462	1	7	8	7
Tue Nov 22 14:48:01 2016	1479822481	1	7	8	7
Tue Nov 22 14:47:39 2016	1479822459	3	6	9	4
Tue Nov 22 14:48:04 2016	1479822484	0	8	9	8
Tue Nov 22 14:48:04 2016	1479822484	1	8	9	8
Tue Nov 22 14:48:01 2016	1479822481	1	8	9	8
Tue Nov 22 14:47:36 2016	1479822456	1	7	9	7
Tue Nov 22 14:48:02 2016	1479822482	3	6	9	5
Tue Nov 22 14:48:01 2016	1479822481	2	7	9	7
Tue Nov 22 14:48:03 2016	1479822483	1	8	9	8
Tue Nov 22 14:47:37 2016	1479822457	1	8	9	8
Tue Nov 22 14:48:01 2016	1479822481	2	7	9	6
Tue Nov 22 14:48:01 2016	1479822481	1	8	9	8
Tue Nov 22 14:48:03 2016	1479822483	1	8	9	7
Tue Nov 22 14:48:03 2016	1479822483	1	8	9	8
Tue Nov 22 14:48:02 2016	1479822482	1	8	9	6
Tue Nov 22 14:47:59 2016	1479822479	2	7	9	5
Tue Nov 22 14:48:03 2016	1479822483	1	8	9	8
Tue Nov 22 14:48:01 2016	1479822481	2	7	9	7
Tue Nov 22 14:48:01 2016	1479822481	1	8	9	8
Tue Nov 22 14:48:03 2016	1479822483	4	5	9	5
Tue Nov 22 14:48:03 2016	1479822483	1	8	9	4
Tue Nov 22 14:47:36 2016	1479822456	1	8	9	5
Tue Nov 22 14:48:03 2016	1479822483	1	9	9	7
